"","city","suid","sample","agr","a_temp","a_prec","richtol","nuii"
"238","MGB","WMIC",4085046,74.53522488,7.146079,80.31915,6.38224359,14.33546169
"239","MGB","WMIC",40850683,87.31093138,7.105702,78.58366,6.442404762,6.255529291
"240","MGB","WMIC",40851235,66.64168435,6.89765,82.58024,6.261719858,18.16033356
"241","MGB","WMIC",40851325,84.4123506,6.833621,83.18407,5.926727642,6.156670806
"242","MGB","WMIC",4085188,77.63577403,6.899378,83.58215,6.407823383,4.481071392
"243","MGB","WMIC",40851932,86.33683585,6.772398,84.12357,6.773531746,6.508681185
"244","MGB","WMIC",4085270,67.94086437,7.136595,83.31773,5.098289474,5.245667653
"245","MGB","WMIC",40853145,72.72401899,6.91933,85.39252,6.766796875,4.722091664
"246","MGB","WMIC",4085322,79.34025403,6.866252,85.52141,5.109071038,6.22883046
"247","MGB","WMIC",40854395,81.67901089,7.38638,83.1693,5.720390071,5.519371277
"248","MGB","WMIC",4085455,75.16704835,7.327083,85.01874,6.463525641,5.734432902
"249","MGB","WMIC",4086699,54.81737277,8.025625,86.24799,6.105066667,13.19171783
"250","MGB","WMIC",40869415,0,8.328092,84.96287,6.735162037,88.28317034
"251","MGB","WMIC",4087030,44.39842891,7.871766,88.23931,6.007383333,24.03865902
"252","MGB","WMIC",408703164,14.76781905,8.118302,87.08562,6.44287415,46.0296962
"253","MGB","WMIC",4087070,38.22319325,8.157412,85.65549,6.506816239,31.7419049
"254","MGB","WMIC",40870856,0.843592097,8.169025,88.65446,6.277429078,52.33369472
"255","MGB","WMIC",4087118,0,8.352052,87.92551,7.142121212,96.85643008
"256","MGB","WMIC",4087204,21.01681733,8.474835,89.46886,6.427361111,40.87986215
"257","MGB","WMIC",4087213,0.252748707,8.293793,88.969,6.638162879,69.56109535
"258","MGB","WMIC",40872393,75.1809172,8.507406,90.55103,6.394748062,12.13814219
"259","MGB","WMIC",4087258,63.99354391,8.601041,90.00302,5.566767677,17.42817788
"260","MGB","WMIC",4087270,10.80678489,8.721246,89.39011,6.319833333,69.61365258
"261","MGB","WMIC",5527729,81.78762632,8.534684,90.41576,6.588254717,6.986043838
"262","MGB","WMIC",55437901,41.53853115,7.930737,88.88811,6.416705128,14.73963693
